date,value
2022-07-05,2434.0
2022-07-06,10013.0
2022-07-07,26328.0
2022-07-08,25388.0
2022-07-09,10002.0
2022-07-10,11082.0
2022-07-11,22857.0
2022-07-12,861.0
2022-07-13,89.0
2022-07-14,201.0
2022-07-15,13317.0
2022-07-16,3233.0
2022-07-17,4078.0
2022-07-18,3253.0
2022-07-19,3207.0
2022-07-20,7277.0
2022-07-21,13914.0
2022-07-22,5611.0
2022-07-23,6254.0
2022-07-24,5609.0
2022-07-25,13069.0
2022-07-26,10718.0
2022-07-27,17576.0
2022-07-28,7947.0
2022-07-29,8420.0
2022-07-30,4239.0
2022-07-31,196.0
2022-08-01,2534.0
2022-08-02,714.0
2022-08-03,9815.0
2022-08-04,5144.0
2022-08-05,5048.0
2022-08-06,9930.0
2022-08-07,7400.0
2022-08-08,325.0
2022-08-09,3983.0
2022-08-10,528.0
2022-08-11,7404.0
2022-08-12,5164.0
2022-08-13,2696.0
2022-08-14,2385.0
2022-08-15,2273.0
2022-08-16,5381.0
2022-08-17,4129.0
2022-08-18,11107.0
2022-08-19,314.0
2022-08-20,1065.0
2022-08-21,182.0
2022-08-22,3092.0
2022-08-23,5663.0
2022-08-24,6235.0
2022-08-25,4910.0
2022-08-26,5011.0
2022-08-27,1471.0
2022-08-28,330.0
2022-08-29,1095.0
2022-08-30,15705.0
2022-08-31,211.0
2022-09-01,8564.0
2022-09-02,4739.0
2022-09-03,1904.0
2022-09-04,5876.0
2022-09-05,13514.0
2022-09-06,3641.0
2022-09-07,1762.0
2022-09-08,344.0
2022-09-09,578.0
2022-09-10,4880.0
2022-09-11,2990.0
2022-09-12,5345.0
2022-09-13,382.0
2022-09-14,3468.0
2022-09-15,646.0
2022-09-16,1562.0
2022-09-17,5073.0
2022-09-18,507.0
2022-09-19,2157.0
2022-09-20,2477.0
2022-09-21,1430.0
2022-09-22,1279.0
2022-09-23,3360.0
2022-09-24,4989.0
2022-09-25,4864.0
2022-09-26,3410.0
2022-09-27,6302.0
2022-09-28,14205.0
2022-09-29,17426.0
2022-09-30,21094.0
2022-10-01,13817.0
2022-10-02,5249.0
2022-10-03,6736.0
2022-10-04,6563.0
2022-10-05,7323.0
2022-10-06,5654.0
2022-10-07,5823.0
2022-10-08,7486.0
2022-10-09,8309.0
2022-10-10,6267.0
2022-10-11,13426.0
2022-10-12,8437.0
2022-10-13,5264.0
2022-10-14,8681.0
2022-10-15,13271.0
2022-10-16,9130.0
2022-10-17,6816.0
2022-10-18,10289.0
2022-10-19,12018.0
2022-10-20,11871.0
2022-10-21,14181.0
2022-10-22,1903.0
2022-10-23,6918.0
2022-10-24,5908.0
2022-10-25,7543.0
2022-10-26,6033.0
2022-10-27,11747.0
2022-10-28,5776.0
2022-10-29,5311.0
2022-10-30,1783.0
2022-10-31,14740.0
2022-11-01,13070.0
2022-11-02,6557.0
2022-11-03,6646.0
