date,value
2022-04-23,0.33738
2022-04-24,0.03116
2022-04-25,1.91145
2022-04-26,3.0853699999999997
2022-04-27,3.17402
2022-04-28,0.0459
2022-04-29,1.89952
2022-04-30,0.24544
2022-05-01,0.31088
2022-05-02,0.77396
2022-05-03,0.66669
2022-05-04,0.27688
2022-05-05,2.30615
2022-05-06,6.200851
2022-05-07,0.35772
2022-05-08,0.18673
2022-05-09,2.723798
2022-05-10,3.16255
2022-05-11,2.38247
2022-05-12,2.69839
2022-05-13,1.87828
2022-05-14,0.09316
2022-05-15,0.09279
2022-05-16,2.004911
2022-05-17,3.48039
2022-05-18,9.203341
2022-05-19,2.03152
2022-05-20,0.10705999999999999
2022-05-21,0.396
2022-05-22,0.26485
2022-05-23,4.3857406
2022-05-24,2.904387
2022-05-25,5.99407
2022-05-26,1.29235
2022-05-27,2.03243
2022-05-28,2.2033869999999998
2022-05-29,0.02973
2022-05-30,0.89478
2022-05-31,1.52502
2022-06-01,2.12348
2022-06-02,1.7933999999999999
2022-06-03,13.95136
2022-06-04,1.57696
2022-06-05,0.39346
2022-06-06,0.80938
2022-06-07,4.6312
2022-06-08,1.17361
2022-06-09,3.68166
2022-06-10,3.33739
2022-06-11,6.76349
2022-06-12,0.1683
2022-06-13,0.0112
2022-06-14,0.04852
2022-06-15,4.23123
2022-06-16,0.12856
2022-06-17,0.15402000000000002
2022-06-18,1.64551
2022-06-19,9.145929
2022-06-20,4.377703
2022-06-21,6.25456
2022-06-22,0.03993
2022-06-23,10.3030367
2022-06-24,0.57158
2022-06-25,0.08961
2022-06-26,3.6120900000000002
2022-06-27,0.21524
2022-06-28,1.66467
2022-06-29,4.224537
2022-06-30,3.0339274
2022-07-01,5.673513
2022-07-02,2.227057
2022-07-03,0.10495
2022-07-04,8.755155
2022-07-05,1.6863299999999999
2022-07-06,6.956957
2022-07-07,18.36918
2022-07-08,17.49781
2022-07-09,6.65388
2022-07-10,8.16957
2022-07-11,15.13003
2022-07-12,0.59468
2022-07-13,0.06517
2022-07-14,0.13898
2022-07-15,9.02711
2022-07-16,2.29533
2022-07-17,2.72142
2022-07-18,2.35836
2022-07-19,2.161959
2022-07-20,4.89346
2022-07-21,9.264384
2022-07-22,3.99743
2022-07-23,4.4550835
2022-07-24,3.981005
2022-07-25,9.17295
2022-07-26,7.300085
2022-07-27,11.8687086
2022-07-28,5.49618
2022-07-29,5.3783900000000004
2022-07-30,2.87742
2022-07-31,0.13445000000000001
2022-08-01,1.8606800000000001
2022-08-02,0.49622
2022-08-03,6.907275
2022-08-04,3.47044
2022-08-05,3.639257
2022-08-06,7.225891
2022-08-07,5.282119
2022-08-08,0.24512
2022-08-09,2.61772
2022-08-10,0.37595
2022-08-11,5.194552
2022-08-12,3.75279
2022-08-13,1.92631
2022-08-14,1.676691
2022-08-15,1.59891
2022-08-16,3.6125
2022-08-17,2.850544
2022-08-18,7.7194025
2022-08-19,0.22871
2022-08-20,0.7604409999999999
2022-08-21,0.12612
2022-08-22,2.156178
2022-08-23,3.965367
2022-08-24,4.07337
2022-08-25,3.626474
2022-08-26,3.382552
2022-08-27,1.10563
2022-08-28,0.22515
2022-08-29,0.7324
2022-08-30,10.200377
2022-08-31,0.15738000000000002
2022-09-01,5.539163
2022-09-02,3.323348
2022-09-03,1.31916
2022-09-04,4.147453
2022-09-05,9.227782
2022-09-06,2.635494
2022-09-07,1.26018
2022-09-08,0.25801
2022-09-09,0.41761
2022-09-10,3.57466
