date,type,value
2021-08-12,FlightsClimbed,6.0
2021-08-12,DistanceWalkingRunning,6.03517
2021-08-13,StepCount,2827.0
2021-08-13,FlightsClimbed,4.0
2021-08-13,DistanceWalkingRunning,1.934168
2021-08-14,StepCount,334.0
2021-08-14,FlightsClimbed,3.0
2021-08-14,DistanceWalkingRunning,0.24099
2021-08-15,StepCount,5651.0
2021-08-15,FlightsClimbed,2.0
2021-08-15,DistanceWalkingRunning,3.72465
2021-08-16,StepCount,8767.0
2021-08-16,FlightsClimbed,5.0
2021-08-16,DistanceWalkingRunning,5.744499
2021-08-17,StepCount,11599.0
2021-08-17,FlightsClimbed,4.0
2021-08-17,DistanceWalkingRunning,8.056126
2021-08-18,StepCount,1654.0
2021-08-18,FlightsClimbed,8.0
2021-08-18,DistanceWalkingRunning,1.16489
2021-08-19,StepCount,2654.0
2021-08-19,FlightsClimbed,4.0
2021-08-19,DistanceWalkingRunning,1.892096
2021-08-20,StepCount,1113.0
2021-08-20,FlightsClimbed,5.0
2021-08-20,DistanceWalkingRunning,0.75642
2021-08-21,StepCount,2683.0
2021-08-21,FlightsClimbed,6.0
2021-08-21,DistanceWalkingRunning,1.90488
2021-08-22,StepCount,4069.0
2021-08-22,FlightsClimbed,2.0
2021-08-22,DistanceWalkingRunning,2.72867
2021-08-23,StepCount,1912.0
2021-08-23,FlightsClimbed,7.0
2021-08-23,DistanceWalkingRunning,1.304389
2021-08-24,StepCount,8347.0
2021-08-24,FlightsClimbed,7.0
2021-08-24,DistanceWalkingRunning,5.705609
2021-08-25,StepCount,1666.0
2021-08-25,FlightsClimbed,14.0
2021-08-25,DistanceWalkingRunning,1.18066
2021-08-26,StepCount,4642.0
2021-08-26,FlightsClimbed,9.0
2021-08-26,DistanceWalkingRunning,3.118163
2021-08-27,StepCount,1105.0
2021-08-27,FlightsClimbed,4.0
2021-08-27,DistanceWalkingRunning,0.80851
2021-08-28,StepCount,2655.0
2021-08-28,FlightsClimbed,9.0
2021-08-28,DistanceWalkingRunning,1.7927
2021-08-29,StepCount,2102.0
2021-08-29,FlightsClimbed,1.0
2021-08-29,DistanceWalkingRunning,1.39537
2021-08-30,StepCount,2355.0
2021-08-30,FlightsClimbed,8.0
2021-08-30,DistanceWalkingRunning,1.6327417
2021-08-31,StepCount,5434.0
2021-08-31,FlightsClimbed,4.0
2021-08-31,DistanceWalkingRunning,3.96062
2021-09-01,StepCount,4670.0
2021-09-01,FlightsClimbed,8.0
2021-09-01,DistanceWalkingRunning,3.380757
2021-09-02,StepCount,3377.0
2021-09-02,FlightsClimbed,8.0
2021-09-02,DistanceWalkingRunning,2.469247
2021-09-03,StepCount,582.0
2021-09-03,FlightsClimbed,4.0
2021-09-03,DistanceWalkingRunning,0.42413
2021-09-04,StepCount,5860.0
2021-09-04,FlightsClimbed,8.0
2021-09-04,DistanceWalkingRunning,4.2378
2021-09-05,StepCount,8445.0
2021-09-05,FlightsClimbed,5.0
2021-09-05,DistanceWalkingRunning,6.154962
2021-09-06,StepCount,7005.0
2021-09-06,FlightsClimbed,14.0
2021-09-06,DistanceWalkingRunning,4.60232
2021-09-07,StepCount,4017.0
2021-09-07,FlightsClimbed,14.0
2021-09-07,DistanceWalkingRunning,2.90395
2021-09-08,StepCount,3467.0
2021-09-08,FlightsClimbed,6.0
2021-09-08,DistanceWalkingRunning,2.55943
2021-09-09,StepCount,4505.0
2021-09-09,FlightsClimbed,9.0
2021-09-09,DistanceWalkingRunning,3.221199
2021-09-10,StepCount,13164.0
2021-09-10,FlightsClimbed,11.0
2021-09-10,DistanceWalkingRunning,9.37032
2021-09-11,StepCount,7901.0
2021-09-11,FlightsClimbed,7.0
2021-09-11,DistanceWalkingRunning,5.19961
2021-09-12,StepCount,7479.0
2021-09-12,FlightsClimbed,7.0
2021-09-12,DistanceWalkingRunning,5.306761
2021-09-13,StepCount,1057.0
2021-09-13,FlightsClimbed,4.0
2021-09-13,DistanceWalkingRunning,0.74224
2021-09-14,StepCount,3360.0
